location_id,distancia_media
148,3.16
243,9.45
31,12.29
137,2.16
85,9.3
251,21.58
65,7.86
255,7.75
53,9.39
133,12.4
78,10.82
155,10.96
108,12.28
211,2.69
193,5.07
34,6.58
115,21.32
126,9.81
101,12.76
81,15.2
28,7.21
210,12.86
183,13.24
76,7.82
26,12.49
27,17.81
159,7.55
192,8.92
44,32.06
253,8.18
236,2.01
12,4.22
223,6.89
91,9.25
222,8.36
209,4.97
22,12.41
128,11.1
122,9.99
230,3.05
233,2.46
232,3.73
225,8.39
93,7.78
157,8.58
190,8.69
246,2.16
224,2.99
111,12.71
47,57.0
140,2.94
177,8.28
152,4.59
132,14.74
185,12.73
146,5.16
259,16.81
1,18.25
206,23.5
52,8.55
212,11.53
182,11.88
13,4.89
218,6.73
16,12.17
86,12.57
6,13.01
168,6.69
205,7.93
142,2.14
178,13.64
3,14.77
164,2.72
40,9.78
20,13.67
169,11.54
139,8.21
250,11.29
94,11.86
57,6.9
54,8.84
120,8.07
235,11.18
96,9.44
48,2.65
163,2.36
191,10.95
5,28.07
258,8.08
19,11.33
92,8.13
257,12.67
117,14.29
64,12.37
227,12.75
41,4.09
154,11.16
43,2.09
15,11.88
262,2.63
112,7.15
165,11.53
189,8.87
179,6.23
207,6.07
37,7.99
61,8.57
127,10.5
88,5.31
197,7.62
107,2.26
263,2.48
202,6.39
231,3.49
17,8.46
9,10.35
72,7.95
175,11.68
35,7.87
196,8.19
217,7.7
229,2.19
114,2.3
220,12.68
173,7.44
4,2.98
55,13.54
59,7.76
241,12.87
100,3.68
8,6.7
161,2.11
39,8.88
23,24.13
49,8.49
176,20.87
162,2.21
7,5.67
244,7.44
238,2.59
130,7.07
136,11.55
84,30.87
247,8.28
87,5.23
171,9.9
51,13.5
194,5.95
129,6.58
166,3.68
69,9.11
97,7.65
239,2.44
234,2.01
63,8.17
77,8.25
10,5.18
102,8.65
50,2.33
45,3.37
216,5.41
261,5.25
38,9.5
249,2.16
82,8.24
181,9.79
167,9.06
80,7.77
240,13.01
25,9.68
245,21.09
73,8.98
237,1.68
113,2.46
24,3.23
160,8.31
70,6.75
125,3.22
62,9.09
121,8.68
156,23.3
143,2.44
219,5.75
95,7.95
29,13.43
226,5.89
21,12.98
214,16.47
256,6.73
195,9.1
98,10.11
90,2.39
32,12.92
60,11.46
75,2.66
203,8.43
221,16.46
141,2.1
151,2.9
200,14.23
145,5.87
254,15.09
56,8.26
109,26.15
228,11.44
213,11.58
170,2.14
105,2.54
188,9.28
58,14.58
33,7.46
11,12.79
204,31.79
83,6.8
150,12.39
68,2.44
260,6.51
71,8.5
106,9.5
116,6.16
147,9.75
14,13.62
198,8.55
123,12.53
158,2.55
242,10.87
248,11.33
135,7.71
42,5.37
119,9.38
79,2.52
201,14.8
2,7.38
149,12.16
131,9.65
118,21.79
124,6.9
30,9.71
184,11.99
66,6.42
186,1.99
67,12.87
46,18.12
174,12.58
215,6.68
172,19.09
252,10.35
144,2.74
153,11.79
18,12.95
138,10.2
74,3.31
180,6.97
134,7.4
36,8.13
208,13.28
187,20.33
89,11.21
