location_id,distancia_media
148,2.7
243,5.64
31,8.34
137,2.23
85,6.4
65,5.17
255,3.77
53,9.36
133,5.44
78,9.15
155,7.18
108,9.11
211,2.31
34,3.77
193,3.94
126,9.76
101,12.86
115,2.24
81,11.55
28,10.25
210,9.33
183,12.13
76,7.62
26,6.16
27,3.2
159,6.82
192,7.34
253,5.84
236,1.8
12,4.18
223,5.43
91,6.33
222,7.6
209,3.9
22,7.22
128,6.63
230,2.8
122,11.99
232,3.48
233,2.51
93,8.5
225,5.94
157,6.08
190,4.29
246,2.28
224,2.34
47,9.63
140,2.22
177,6.65
132,15.46
152,3.3
185,9.66
146,3.19
259,13.54
1,4.34
52,4.01
212,8.88
182,9.77
13,4.31
218,11.02
16,10.08
86,17.11
6,5.79
168,6.02
205,11.55
142,2.05
3,562.22
178,6.31
164,2.26
40,3.84
20,10.07
169,8.31
139,13.69
94,9.35
250,9.21
57,6.32
54,6.21
120,4.07
235,8.34
96,5.01
48,2.29
163,2.27
191,13.01
5,6.93
258,8.83
19,12.45
92,9.07
257,7.49
64,10.74
117,14.87
227,7.49
41,2.6
154,6.13
43,2.08
15,9.23
262,2.13
112,3.97
165,5.97
189,4.55
179,4.73
207,5.99
37,5.62
127,9.07
61,14.67
88,4.65
197,7.6
263,1.94
107,2.04
202,5.79
231,2.94
17,4.97
9,7.79
72,82.07
175,10.92
35,6.46
196,6.97
217,4.39
229,1.97
114,2.17
173,7.31
220,8.74
4,2.69
55,10.93
59,13.57
100,2.26
8,6.69
241,9.66
161,2.19
39,7.48
49,5.49
176,10.02
162,2.17
7,3.78
244,4.89
238,2.01
130,9.7
136,9.63
247,6.77
87,4.27
171,9.62
51,12.98
194,6.23
166,2.53
129,3.98
69,7.84
97,4.51
239,1.99
234,1.94
63,7.73
10,12.59
77,7.44
102,7.58
50,2.26
45,3.47
216,5.27
261,4.02
38,13.68
249,2.1
181,4.63
82,6.24
167,7.91
80,5.2
240,16.56
25,4.82
73,10.0
237,1.66
113,1.94
24,2.32
160,6.4
70,9.26
125,2.44
62,5.02
121,8.62
143,2.0
219,14.02
95,6.53
226,5.55
29,9.6
21,7.35
214,9.34
256,4.3
195,10.83
98,10.24
90,1.99
60,9.68
32,10.5
75,2.42
203,13.97
221,0.23
141,1.76
151,2.14
145,5.87
200,10.0
56,8.37
254,12.27
109,2.3
228,7.91
213,10.09
170,2.14
188,5.36
58,13.94
33,4.82
11,9.35
83,5.17
150,8.62
68,2.38
106,4.81
71,5.66
260,4.66
116,3.86
147,9.45
198,6.04
14,8.92
123,7.33
158,2.58
242,9.31
199,13.97
135,8.56
248,10.1
42,3.96
119,7.76
79,2.22
201,14.24
2,17.93
131,10.08
149,7.0
124,8.09
99,2.8
30,2.5
184,6.66
66,5.02
186,2.16
67,7.16
46,13.2
174,11.03
215,11.51
172,10.35
252,10.46
144,2.38
153,6.8
18,10.88
138,9.45
74,2.89
180,7.92
134,5.36
36,5.24
208,9.62
89,5.96
23,0.9
