location_id,duracion_media
148,16.21
243,25.49
31,30.79
137,12.33
85,41.56
251,45.75
65,29.11
255,27.74
53,27.1
133,35.42
78,42.32
155,29.89
108,43.13
211,15.32
193,34.78
34,27.64
115,42.03
126,36.64
101,37.36
81,44.11
28,22.24
210,38.36
183,36.69
76,35.17
26,41.89
27,65.49
159,32.55
192,34.81
44,52.17
253,19.47
236,11.57
12,18.52
223,22.63
91,40.56
222,36.88
209,19.48
22,41.95
128,38.13
122,31.36
230,17.11
233,12.85
232,16.55
225,35.25
93,15.62
157,23.45
190,34.83
246,12.91
224,14.13
111,44.08
47,38.8
140,13.6
177,35.41
152,17.64
132,39.92
185,41.32
146,19.85
259,44.94
1,37.07
206,49.51
52,27.41
212,31.35
182,40.69
13,18.64
218,24.33
16,27.22
86,43.45
6,24.89
168,24.01
205,28.88
142,12.41
178,39.73
3,43.41
164,14.47
40,29.73
20,41.42
169,38.45
139,24.58
250,34.76
94,38.62
57,18.01
54,27.11
120,23.45
235,36.17
96,26.69
48,14.85
163,14.03
191,31.43
5,41.97
258,28.25
19,31.64
92,25.43
257,34.38
117,53.72
64,24.39
227,38.91
41,17.64
154,18.58
43,12.92
15,26.15
262,13.24
112,25.1
165,38.85
189,33.78
179,23.24
207,14.6
37,32.88
61,35.9
127,26.4
88,19.42
197,27.58
107,12.26
263,12.22
202,26.46
231,16.63
17,34.18
9,24.83
72,35.19
175,28.02
35,40.7
196,27.07
217,31.55
229,11.79
114,13.34
220,33.18
173,25.03
4,14.25
55,46.72
59,30.17
241,36.51
100,14.88
8,20.26
161,13.84
39,35.06
23,43.37
49,32.93
176,45.2
162,12.79
7,21.89
244,23.77
238,12.63
130,25.47
136,40.76
84,61.48
247,30.95
87,19.98
171,27.11
51,43.26
194,18.54
129,26.1
166,15.74
69,32.39
97,29.95
239,12.64
234,12.09
63,32.01
77,36.85
10,16.03
102,29.4
50,13.14
45,17.36
216,18.14
261,20.35
38,27.82
249,12.55
82,25.19
181,34.29
167,35.04
80,26.49
240,36.76
25,31.95
245,42.27
73,26.25
237,11.0
113,13.68
24,14.12
160,27.9
70,19.28
125,15.45
62,37.57
121,32.6
156,39.05
143,13.34
219,16.72
95,25.21
29,37.99
226,23.09
21,41.13
214,34.13
256,24.98
195,30.0
98,29.1
90,12.78
32,40.98
60,40.17
75,13.58
203,26.77
221,34.47
141,11.76
151,13.58
200,33.08
145,21.17
254,45.8
56,22.41
109,56.52
228,34.88
213,36.54
170,12.48
105,8.83
188,37.74
58,32.13
33,26.27
11,35.06
204,65.08
83,24.22
150,33.76
68,13.44
260,21.1
71,40.27
106,32.31
116,21.63
147,33.43
14,38.01
198,29.86
123,41.19
158,13.66
242,36.77
248,32.44
135,23.31
42,21.58
119,29.55
79,13.42
201,37.94
2,24.57
149,40.27
131,27.41
118,45.85
124,20.72
30,25.27
184,34.83
66,23.95
186,13.69
67,36.18
46,39.3
174,42.05
215,22.73
172,93.14
252,27.96
144,15.66
153,34.13
18,41.25
138,27.11
74,15.1
180,22.36
134,22.23
36,31.18
208,34.46
187,35.28
89,39.43
