location_id,ingresos_totales
148,628926.9
243,10300.08
31,390.32
137,660472.95
85,7709.82
65,36263.25
255,15458.54
53,3680.94
133,4960.32
78,6701.84
155,10378.87
108,6025.04
211,504235.65
34,921.89
193,7725.28
126,3170.29
101,2000.3
115,93.33
81,5128.04
28,16485.69
210,11175.21
183,2567.67
76,43469.67
26,8234.88
27,79.2
159,8467.05
192,1306.56
253,54.6
236,2770274.26
12,23695.24
223,24281.85
91,18855.82
222,13134.2
209,112178.23
22,6075.45
128,463.63
230,2879753.1
122,2490.96
232,63836.25
233,704299.14
93,36291.42
225,18055.99
157,16623.92
190,655.22
246,1199313.93
224,59609.56
47,7039.61
140,1403613.66
177,14604.62
132,1.014415518E7
152,27097.54
185,3196.18
146,23453.3
259,5915.86
1,5801.51
52,9662.19
212,3554.33
182,8815.51
13,494035.75
218,11692.3
16,1685.26
86,13474.27
6,1163.32
168,10208.49
205,12094.67
142,2094129.03
3,3680.25
178,1583.1
164,1450346.52
40,5697.16
20,4099.06
169,6910.96
139,5381.31
94,3221.28
250,3934.07
57,73.0
54,1881.09
120,420.37
235,8227.47
96,376.45
48,1589485.92
163,2044559.7
191,6594.54
5,56.18
258,4865.82
19,2628.66
92,6045.54
257,2703.33
64,1712.61
117,12651.67
227,4196.95
41,113359.96
154,1026.45
43,986362.58
15,968.2
262,809840.79
112,7266.43
165,9644.49
189,6845.64
179,9656.65
207,4309.0
37,11972.51
127,6085.37
61,34284.18
88,216126.64
197,30638.82
263,1112030.98
107,1198891.9
202,3534.46
231,895250.77
17,13206.78
9,1457.5
72,17275.79
175,2156.34
35,22507.81
196,8588.99
217,3467.55
229,1064658.56
114,927573.19
173,2233.24
220,4592.83
4,74684.57
55,19459.47
59,160.88
100,1024057.37
8,857.79
241,7864.79
161,3524156.94
39,29840.82
49,13976.44
176,73.42
162,2475119.87
7,28576.28
244,39821.55
238,1166343.39
130,29241.99
136,5934.33
247,7550.65
87,363761.28
171,2661.93
51,16036.37
194,3859.77
166,248359.7
129,34472.75
69,12713.26
97,26330.75
239,1703198.99
234,1707307.44
63,6331.67
10,55500.13
77,10275.8
102,2194.72
50,280066.57
45,109940.86
216,71313.9
261,390280.32
38,5485.62
249,1322370.84
181,21662.02
82,18014.51
167,6137.2
80,14477.86
240,518.64
25,22826.75
73,741.64
237,2921509.08
113,855609.85
24,133874.04
160,3703.39
70,571664.84
125,308589.09
62,11638.0
121,5786.7
143,613555.07
219,28976.39
95,11932.95
226,76455.78
29,6074.92
21,5844.15
214,207.86
256,15744.53
195,24448.82
98,2321.19
90,925694.9
60,3943.24
32,4787.94
75,345657.86
203,5697.48
221,14.89
141,1370247.28
151,428170.28
145,53193.87
200,2989.29
56,11306.74
254,12704.11
109,13.9
228,8612.7
213,10938.41
170,1837448.75
188,24015.31
58,257.88
33,25828.65
11,2929.92
83,7024.76
150,2364.01
68,1844401.11
106,2953.5
71,16412.24
260,23037.05
116,36850.56
147,3096.19
198,3671.89
14,16468.15
123,7620.48
158,575018.75
242,6738.69
199,84.47
135,4765.17
248,4257.97
42,55124.16
119,7816.72
79,1331869.72
201,3822.42
2,264.21
131,5465.62
149,5571.95
124,4939.26
99,15.3
30,26.6
184,122.34
66,22360.99
186,2567603.75
67,3319.89
46,536.25
174,6286.15
215,27077.67
172,21.83
252,1699.73
144,630997.24
153,942.93
18,6680.87
138,6394441.63
74,105261.4
180,2109.86
134,18853.45
36,5490.0
208,3901.41
89,23240.68
23,7.3
