location_id,propina_media
148,4.18
243,8.09
31,7.88
137,3.12
85,4.43
251,14.74
65,6.56
255,7.32
53,6.28
133,9.22
78,1.8
155,5.53
108,3.73
211,3.93
193,4.61
34,5.47
126,3.68
101,7.19
115,11.61
81,2.42
28,4.88
210,4.99
183,5.74
76,1.37
26,4.1
27,12.72
159,2.86
192,5.1
44,20.66
253,7.1
236,3.3
12,4.96
223,6.84
91,2.68
222,0.84
209,5.08
22,5.45
128,6.25
122,3.39
230,4.59
233,3.7
232,4.29
225,6.26
157,6.56
93,6.74
190,7.85
246,3.44
224,4.11
111,17.63
47,1.81
140,3.44
177,3.39
152,4.41
132,13.44
185,5.84
146,5.59
259,5.92
1,17.99
206,16.64
52,8.11
212,3.29
182,2.34
13,5.16
218,2.53
16,8.04
86,3.33
6,13.88
168,4.42
205,2.89
142,3.53
178,6.89
3,4.59
164,4.1
40,8.99
20,8.17
169,2.83
139,3.43
94,3.75
250,3.84
57,6.24
54,8.52
120,5.49
235,2.32
96,8.86
48,3.91
163,3.85
191,4.01
5,12.03
258,4.35
19,6.03
92,5.63
257,10.71
227,8.5
117,2.89
64,10.1
41,4.52
154,8.66
43,3.53
15,8.83
262,3.79
112,7.28
165,5.74
189,8.59
179,5.97
207,6.72
37,6.38
61,6.3
127,7.93
88,5.17
197,3.96
107,3.48
263,3.55
202,6.33
231,4.28
17,6.6
9,7.05
72,2.66
175,6.59
35,1.17
196,5.86
217,3.73
229,3.5
114,3.59
220,9.58
173,5.1
4,3.77
55,3.21
59,3.68
241,5.91
100,3.94
8,6.48
161,3.73
39,2.05
23,16.43
49,7.48
176,17.07
162,3.69
7,5.9
238,3.69
130,3.58
244,6.14
136,2.98
84,20.08
247,3.81
87,5.22
171,6.61
51,2.7
194,5.08
129,7.01
166,4.39
69,3.66
97,6.57
239,3.69
234,3.39
63,2.56
10,4.83
102,6.34
77,1.55
50,3.44
45,4.04
216,6.09
261,5.3
38,3.93
249,3.51
82,5.93
181,9.05
167,3.25
80,7.16
240,6.82
25,7.6
245,15.48
73,5.53
237,3.14
113,3.84
24,4.15
160,7.07
70,6.84
125,4.21
62,5.81
121,4.84
156,7.41
143,3.54
219,4.1
95,6.68
29,4.77
226,5.87
214,13.31
21,5.25
256,6.45
195,7.99
98,5.86
90,3.65
60,3.13
32,3.91
75,3.35
203,3.15
221,13.16
141,3.33
151,3.91
200,10.89
145,6.1
56,3.84
254,3.12
109,10.27
228,7.7
213,3.94
170,3.5
105,2.0
188,6.34
58,9.15
33,7.12
11,7.93
204,20.84
83,5.16
150,6.67
68,3.79
71,2.9
106,8.47
260,6.17
116,5.77
147,3.93
14,9.0
198,7.41
123,5.09
158,3.81
242,3.77
248,4.51
135,5.49
42,4.65
119,3.26
79,3.63
201,8.87
149,5.52
131,5.46
118,16.22
124,4.67
30,6.04
184,1.43
66,6.31
186,3.67
67,8.09
46,14.12
215,2.64
174,2.6
172,12.84
252,7.81
144,3.91
153,6.89
18,4.32
74,3.79
138,11.09
180,4.39
134,6.2
36,7.23
208,6.77
187,7.22
89,7.54
