location_id,tarifa_media
148,18.31
243,38.99
31,51.38
137,13.52
85,42.58
251,83.43
65,35.5
255,36.06
53,39.26
133,51.86
78,44.97
155,44.79
108,49.45
211,16.37
193,25.0
34,32.04
115,80.73
126,40.11
101,48.75
81,57.21
28,31.66
210,51.07
183,50.85
76,33.61
26,53.61
27,69.46
159,33.31
192,37.43
44,127.43
253,34.13
236,13.01
12,22.58
223,31.87
91,39.7
222,34.17
209,23.84
22,51.81
128,43.62
122,39.4
230,18.65
233,15.07
232,19.83
225,38.92
93,33.36
157,36.04
190,40.22
246,14.09
224,16.8
111,53.55
47,43.23
140,14.52
177,36.49
152,22.52
132,64.27
185,50.89
146,25.59
259,63.89
1,94.94
206,93.36
52,37.81
212,44.92
182,45.67
13,23.59
218,27.55
16,48.44
86,47.95
6,42.92
168,30.44
205,32.59
142,13.71
178,55.87
3,56.0
164,16.68
40,42.1
20,54.2
169,47.17
139,33.2
250,45.08
94,48.37
57,32.02
54,38.83
120,35.72
235,44.98
96,41.15
48,16.19
163,15.27
191,42.35
5,103.28
258,35.65
19,44.0
92,35.59
257,52.37
117,53.21
64,48.89
227,52.68
41,20.98
154,43.21
43,13.92
15,47.07
262,15.41
112,32.98
165,49.28
189,41.46
179,29.07
207,44.56
37,37.24
61,39.78
127,42.07
88,25.05
197,34.79
107,13.98
263,14.45
202,30.54
231,18.8
17,39.91
9,41.75
72,36.32
175,46.0
35,34.85
196,35.75
217,36.53
229,13.71
114,14.52
220,51.0
173,33.89
4,16.83
55,52.18
59,34.76
241,51.25
100,16.13
8,27881.84
161,14.73
39,37.58
23,97.42
49,39.23
176,83.44
162,14.41
7,27.32
244,32.58
238,14.9
130,30.88
136,46.67
84,118.73
247,36.23
87,24.75
171,41.49
51,51.09
194,28.53
129,33.21
166,18.95
69,39.35
97,35.24
239,14.39
234,13.29
63,34.49
77,35.72
10,24.53
102,37.92
50,14.47
45,19.01
216,31.9
261,24.99
38,37.6
249,13.62
82,35.66
181,44.11
167,39.04
80,35.74
240,51.76
25,39.52
245,84.14
73,38.22
237,12.06
113,14.97
24,17.14
160,36.56
70,31.81
125,17.68
62,42.23
121,36.68
156,90.99
143,14.61
219,25.17
95,34.93
29,53.38
226,28.57
21,54.56
214,60.33
256,32.12
195,40.7
98,41.6
90,14.38
32,51.12
60,46.23
75,15.39
203,32.68
221,59.66
141,13.37
151,15.99
200,56.52
145,28.13
254,55.86
56,35.06
109,102.12
228,48.19
213,45.61
170,14.08
105,12.8
188,42.25
58,58.12
33,33.83
11,54.32
204,122.19
83,31.77
150,50.82
68,15.11
260,30.4
71,38.66
106,42.62
116,28.38
147,40.23
14,54.55
198,38.53
123,50.96
158,15.23
242,43.87
248,45.57
135,32.81
42,25.81
119,39.15
79,15.15
201,58.11
2,34.03
149,49.77
131,39.28
118,85.64
124,30.21
30,41.19
184,49.22
66,30.47
186,14.18
67,52.3
46,69.77
174,49.06
215,28.83
172,68.87
252,41.54
144,16.88
153,48.37
18,51.15
138,45.22
74,17.82
180,30.27
134,34.98
36,37.53
208,50.46
187,80.69
89,48.4
