location_id,viajes
148,598
243,44
31,1
137,2372
85,53
65,117
255,9
53,15
133,38
78,33
108,23
155,31
211,592
193,37
34,1
126,18
115,2
101,5
81,25
28,31
210,53
183,10
76,260
26,45
159,39
192,1
236,16903
12,25
223,65
91,144
222,103
209,149
22,28
230,6135
122,8
232,177
233,2971
93,38
157,33
225,150
190,4
246,2027
224,312
47,26
140,7577
177,112
132,6212
152,181
185,16
146,84
259,21
1,3
52,79
212,24
182,55
13,1323
218,57
86,42
16,6
6,1
168,55
205,54
142,7132
3,18
178,13
164,3832
40,48
20,12
169,25
139,15
250,13
94,16
54,10
120,2
235,47
48,5044
163,4820
191,21
258,15
19,13
92,19
257,7
117,45
227,17
64,9
41,835
154,1
43,3258
15,4
262,6177
112,21
165,71
179,65
189,34
207,7
37,74
127,13
61,272
197,45
88,234
107,5028
263,5955
202,14
231,2430
17,105
9,9
72,129
175,5
35,183
196,29
217,22
229,5668
114,1058
220,16
173,12
55,79
4,98
100,3514
241,36
161,7705
39,194
49,76
162,8974
7,144
238,7531
244,186
130,40
136,44
247,43
87,806
171,21
51,66
194,5
166,1279
129,88
69,67
97,107
239,8104
234,4307
63,32
77,94
10,66
102,7
50,1410
45,175
216,80
261,611
38,11
249,3196
82,53
181,69
167,35
80,50
240,3
25,75
73,2
237,12842
113,2898
24,903
160,14
70,683
125,977
62,108
121,25
143,3871
219,34
95,57
226,193
29,18
21,31
195,144
256,38
98,5
90,3276
32,17
60,15
75,2014
203,13
151,2898
141,7263
145,104
200,10
56,32
254,48
213,52
228,21
170,7267
188,180
33,111
11,11
83,14
150,13
68,5114
71,120
260,70
106,27
116,263
147,12
198,14
14,52
123,34
158,1117
242,19
135,16
248,14
42,373
119,40
79,2516
201,6
131,23
149,34
124,8
184,1
66,38
186,11158
67,10
46,3
215,42
174,16
252,9
144,565
153,5
18,25
138,5232
74,653
180,9
134,29
36,23
208,19
89,190
128,2
59,2
8,1
