location_id,viajes
148,2371
243,3
137,519
85,8
65,19
255,54
53,1
133,5
78,1
108,3
155,4
211,364
34,2
193,6
101,2
126,2
81,1
28,3
210,1
183,2
76,20
26,1
159,5
236,191
12,1
223,10
91,18
222,9
209,50
22,2
230,1072
122,1
232,98
233,192
157,31
93,14
225,6
246,1305
224,60
47,2
140,279
132,1156
152,8
146,27
1,1
182,4
13,35
218,15
6,1
168,17
205,5
142,232
178,3
164,785
20,2
40,1
169,5
94,3
250,2
120,1
235,6
96,1
48,1869
163,418
258,2
19,4
92,2
257,3
117,13
227,1
64,2
41,51
43,65
262,136
112,27
189,4
179,10
207,2
37,13
127,6
61,13
88,52
197,9
263,554
107,826
231,534
17,10
72,20
175,1
35,13
196,4
217,3
229,377
114,1368
220,1
4,320
55,11
100,475
161,413
39,9
49,5
162,350
7,40
238,198
244,21
130,8
247,5
87,110
51,9
194,2
166,54
129,42
69,15
97,9
239,240
234,516
63,6
10,13
77,3
50,195
45,36
216,19
261,67
38,9
249,2033
82,13
181,13
167,5
80,47
25,14
237,294
113,534
24,29
160,5
70,20
125,407
62,7
143,79
219,14
95,2
226,63
29,3
21,3
256,34
195,1
98,3
90,741
32,2
75,107
203,4
151,65
141,550
145,31
200,2
254,5
56,10
228,1
213,6
170,488
188,18
33,7
11,1
83,8
68,950
260,23
71,10
116,24
147,3
198,8
14,36
123,1
158,591
242,1
248,6
42,43
119,7
79,2856
201,9
131,4
149,2
124,1
99,1
66,8
186,708
67,1
215,2
174,5
252,1
144,1285
18,21
74,86
138,59
134,5
36,23
89,14
192,1
259,1
16,1
86,5
54,1
165,1
121,2
106,1
180,1
