location_id,viajes
148,25661
243,4188
31,67
137,36510
85,569
251,30
65,3560
255,6069
53,289
133,717
78,311
155,811
108,240
211,23052
193,793
34,219
115,44
126,267
101,187
81,182
28,940
210,494
183,110
76,1919
26,872
27,43
159,554
192,203
44,10
253,23
236,144305
12,1115
223,2864
91,976
222,459
209,6467
22,463
128,164
122,196
230,88963
233,41281
232,11434
225,2273
93,1507
157,1020
190,262
246,54332
224,11287
111,11
47,240
140,63002
177,825
152,3017
132,23989
185,301
146,1677
259,264
1,5980
206,45
52,1903
212,226
182,408
13,18546
218,780
16,413
86,555
6,69
168,1341
205,941
142,85229
178,263
3,199
164,58358
40,2367
20,362
169,432
139,530
250,240
94,168
57,28
54,632
120,94
235,415
96,83
48,66461
163,72689
191,560
5,8
258,580
19,370
92,1385
257,1093
117,387
64,315
227,475
41,14975
154,268
43,31566
15,316
262,46758
112,5899
165,802
189,2301
179,2118
207,51
37,2513
61,4024
127,1544
88,8854
197,1233
107,56121
263,62970
202,1297
231,43081
17,2766
9,228
72,921
175,290
35,898
196,879
217,1143
229,61413
114,27512
220,992
173,349
4,10088
55,667
59,14
241,450
100,36296
8,31
161,111739
39,1386
23,45
49,3805
176,23
162,79516
7,5607
244,6628
238,68008
130,1512
136,320
84,15
247,695
87,19149
171,389
51,546
194,155
129,3015
166,19171
69,917
97,3623
239,84847
234,69669
63,557
77,475
10,2580
102,472
50,26507
45,7303
216,2763
261,12093
38,501
249,48741
82,1693
181,6874
167,339
80,3022
240,51
25,4542
245,24
73,135
237,133403
113,37610
24,9290
160,733
70,1048
125,14512
62,1249
121,492
156,33
143,44442
219,1191
95,3177
29,429
226,3814
21,297
214,39
256,5306
195,1069
98,318
90,41333
32,219
60,175
75,31953
203,583
221,45
141,80216
151,26188
200,896
145,5629
254,429
56,775
109,15
228,1140
213,441
170,82525
105,1
188,2259
58,60
33,7143
11,188
204,11
83,521
150,233
68,71712
260,1611
71,886
106,851
116,5238
147,230
14,1827
198,1187
123,616
158,27821
242,431
248,215
135,753
42,8980
119,448
79,55065
201,273
2,3
149,485
131,544
118,53
124,624
30,29
184,13
66,3597
186,61603
67,342
46,50
174,401
215,901
172,43
252,478
144,25619
153,95
18,337
138,27109
74,16143
180,335
134,904
36,1516
208,354
187,16
89,2363
